id,name_list_as,name_display_as,name_full_title,name_address_as,latest_party_id,latest_party_name,latest_party_short,latestParty_governmentType,latestParty_isIndependentParty,gender,membershipFrom,membershipFromId,membership_house,membershipStartDate,membershipEndDate,membershipEndReason,membershipEndReasonNotes,membershipEndReasonId,statusIsActive,statusDescription,statusNotes,statusId,status,statusStartDate
1588,"Keeley, Barbara","Barbara Keeley","Barbara Keeley MP","Barbara Keeley",15,"Labour","Lab",3,false,"F","Worsley and Eccles South",3867,1,"2005-05-05T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4026,"Kendall, Liz","Liz Kendall","Liz Kendall MP","Liz Kendall",15,"Labour","Lab",3,false,"F","Leicester West",3572,1,"2010-05-06T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4671,"Khan, Afzal","Afzal Khan","Afzal Khan MP","Afzal Khan",15,"Labour","Lab",3,false,"M","Manchester, Gorton",3597,1,"2017-06-08T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4359,"Kinnock, Stephen","Stephen Kinnock","Stephen Kinnock MP","Stephen Kinnock",15,"Labour","Lab",3,false,"M","Aberavon",3287,1,"2015-05-07T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
1200,"Knight, Sir Greg","Sir Greg Knight","Rt Hon Sir Greg Knight MP","Sir Greg",4,"Conservative","Con",0,false,"M","East Yorkshire",3466,1,"2001-06-07T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4410,"Knight, Julian","Julian Knight","Julian Knight MP","Julian Knight",8,"Independent","Ind","",true,"M","Solihull",3734,1,"2015-05-07T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4773,"Kniveton, Kate","Kate Kniveton","Kate Kniveton MP","",4,"Conservative","Con",0,false,"F","Burton",3378,1,"2019-12-12T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4858,"Kruger, Danny","Danny Kruger","Danny Kruger MP","",4,"Conservative","Con",0,false,"M","Devizes",3445,1,"2019-12-12T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4134,"Kwarteng, Kwasi","Kwasi Kwarteng","Rt Hon Kwasi Kwarteng MP","",4,"Conservative","Con",0,false,"M","Spelthorne",3764,1,"2010-05-06T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4505,"Kyle, Peter","Peter Kyle","Peter Kyle MP","Peter Kyle",15,"Labour","Lab",3,false,"M","Hove",3541,1,"2015-05-07T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
